bird_class,bird_number_x,matches_x,matches2_x,bird_number_y,matches2_y,English name,Scientific Name,matches_y,Species1,Family1,Order1,Avibase.ID1,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
Black footed Albatross,1,Black-footed Albatross,Black-footed Albatross,1,Black-footed Albatross,Black-footed Albatross,Phoebastria nigripes,Phoebastria nigripes,Phoebastria nigripes,Diomedeidae,Procellariiformes,AVIBASE-EE8ECB1D,4,101.2,67.8,23.8,30.8,87.4,476.0,313.2,171.2,64.7,136.0,3188.4,Marine,3,2.0,Carnivore,Aquatic predator,Aquatic,-84.95,85.01,14.59,-17.36,84626560.97
Red winged Blackbird,10,Red-winged Blackbird,Red-winged Blackbird,10,Red-winged Blackbird,Red-winged Blackbird,Agelaius phoeniceus,Agelaius phoeniceus,Agelaius phoeniceus,Icteridae,Passeriformes,AVIBASE-C86D078E,6,22.7,15.4,5.6,8.8,28.0,118.0,27.8,88.9,24.0,88.9,50.8,Wetland,3,3.0,Herbivore,Granivore,Generalist,9.66,67.41,44.62,-102.04,13703226.95
Brown Pelican,100,Brown Pelican,Brown Pelican,100,Brown Pelican,Brown Pelican,Pelecanus occidentalis,Pelecanus occidentalis,Pelecanus occidentalis,Pelecanidae,Pelecaniformes,AVIBASE-F59AB6B3,4,319.5,285.0,38.8,43.4,71.7,494.6,241.0,259.5,48.1,128.2,3427.8,Marine,3,1.0,Carnivore,Aquatic predator,Aerial,-3.22,39.59,17.7,-83.58,1823742.36
White Pelican,101,Great White Pelican,Great White Pelican,101,Great White Pelican,Great White Pelican,Pelecanus onocrotalus,Pelecanus onocrotalus,Pelecanus onocrotalus,Pelecanidae,Pelecaniformes,AVIBASE-8BAFB01E,4,359.0,341.8,54.4,49.1,128.5,646.4,266.8,366.8,42.1,160.8,9322.3,Wetland,3,2.0,Carnivore,Aquatic predator,Aquatic,-34.84,54.73,27.38,40.85,810182.64
Western Wood Pewee,102,Western Wood Pewee,Western Wood Pewee,102,Western Wood Pewee,Western Wood Pewee,Contopus sordidulus,Contopus sordidulus,Contopus sordidulus,Tyrannidae,Passeriformes,AVIBASE-F6CA75F0,4,16.4,9.2,6.4,4.1,13.8,82.6,29.0,57.7,33.5,60.2,13.1,Forest,1,3.0,Carnivore,Invertivore,Insessorial,7.31,67.81,45.91,-116.12,6939803.44
Sayornis,103,Sayornis,Sayornis,103,Sayornis,Sayornis,Sayornis saya,Sayornis saya,Sayornis saya,Tyrannidae,Passeriformes,AVIBASE-28669A3D,4,19.5,11.3,5.4,4.2,20.2,104.4,26.8,77.7,25.6,79.8,20.9,Forest,3,3.0,Carnivore,Invertivore,Insessorial,23.16,69.87,51.2,-122.26,7204273.9
American Pipit,104,African Pipit,African Pipit,104,African Pipit,African Pipit,Anthus cinnamomeus,Anthus cinnamomeus,Anthus cinnamomeus,Motacillidae,Passeriformes,AVIBASE-0D7CC717,8,16.5,9.8,4.0,4.2,26.2,86.8,21.3,65.6,24.6,65.5,32.2,Grassland,3,3.0,Carnivore,Invertivore,Terrestrial,-34.84,18.86,-10.11,28.01,9825233.85
Whip poor Will,105,Eastern Whip-poor-will,Eastern Whip-poor-will,105,Eastern Whip-poor-will,Eastern Whip-poor-will,Antrostomus vociferus,Antrostomus vociferus,Antrostomus vociferus,Caprimulgidae,Caprimulgiformes,AVIBASE-1A09655B,4,16.1,6.7,3.8,2.7,15.1,154.4,72.3,84.4,46.1,114.2,53.3,Forest,1,3.0,Carnivore,Invertivore,Generalist,31.65,54.53,42.29,-86.2,3403564.97
Horned Puffin,106,Horned Puffin,Horned Puffin,106,Horned Puffin,Horned Puffin,Fratercula corniculata,Fratercula corniculata,Fratercula corniculata,Alcidae,Charadriiformes,AVIBASE-24111FA5,4,51.0,16.8,7.3,31.6,32.1,185.5,96.8,88.4,52.3,63.3,536.1,Marine,3,3.0,Carnivore,Aquatic predator,Aquatic,45.26,72.43,56.55,-4.48,1467964.71
Common Raven,107,Common Hawk-Cuckoo,Common Hawk-Cuckoo,107,Common Hawk-Cuckoo,Common Hawk-Cuckoo,Hierococcyx varius,Hierococcyx varius,Hierococcyx varius,Cuculidae,Cuculiformes,AVIBASE-0880DDC8,4,26.1,14.9,7.7,7.6,23.5,191.0,66.8,124.0,35.0,161.4,103.0,Woodland,2,1.0,Carnivore,Invertivore,Insessorial,5.92,34.17,22.17,80.81,3245384.68
White necked Raven,108,White-necked Raven,White-necked Raven,108,White-necked Raven,White-necked Raven,Corvus albicollis,Corvus albicollis,Corvus albicollis,Corvidae,Passeriformes,AVIBASE-EA326EA2,4,65.9,42.4,19.6,34.0,75.2,417.1,164.6,250.6,39.6,165.6,894.0,Rock,3,2.0,Omnivore,Omnivore,Terrestrial,-34.84,2.4,-17.3,30.73,1615598.28
American Redstart,109,American Redstart,American Redstart,109,American Redstart,American Redstart,Setophaga ruticilla,Setophaga ruticilla,Setophaga ruticilla,Parulidae,Passeriformes,AVIBASE-BED38F50,6,12.3,6.8,4.0,3.0,17.0,62.0,15.6,48.0,24.6,52.6,8.2,Forest,1,3.0,Carnivore,Invertivore,Insessorial,30.05,65.02,47.72,-98.09,6675504.95
Rusty Blackbird,11,Rusty Blackbird,Rusty Blackbird,11,Rusty Blackbird,Rusty Blackbird,Euphagus carolinus,Euphagus carolinus,Euphagus carolinus,Icteridae,Passeriformes,AVIBASE-5F77FED5,4,23.0,15.3,5.0,6.6,30.2,114.4,32.1,82.6,28.0,90.0,59.6,Forest,2,3.0,Omnivore,Omnivore,Terrestrial,42.42,69.61,57.69,-110.48,7275943.03
Geococcyx,110,Geococcyx,Geococcyx,110,Geococcyx,Geococcyx,Geococcyx,Geococcyx californianus,Geococcyx californianus,Cuculidae,Cuculiformes,AVIBASE-DB5DABCF,4,57.8,35.4,10.1,12.5,59.5,181.0,12.0,172.0,6.5,287.4,376.0,Shrubland,2,1.0,Carnivore,Invertivore,Terrestrial,18.36,40.65,30.77,-104.36,3008009.53
Loggerhead Shrike,111,Loggerhead Shrike,Loggerhead Shrike,111,Loggerhead Shrike,Loggerhead Shrike,Lanius ludovicianus,Lanius ludovicianus,Lanius ludovicianus,Laniidae,Passeriformes,AVIBASE-36171C2B,4,21.1,12.3,6.5,8.8,27.7,96.4,21.7,74.2,22.6,96.7,51.6,Shrubland,3,3.0,Carnivore,Invertivore,Insessorial,16.1,55.52,38.03,-101.11,8852504.29
Great Grey Shrike,112,Great Grey Shrike,Great Grey Shrike,112,Great Grey Shrike,Great Grey Shrike,Lanius excubitor,Lanius excubitor,Lanius excubitor,Laniidae,Passeriformes,AVIBASE-DB2501EE,16,23.2,13.9,6.9,9.3,29.4,109.2,28.7,80.4,26.3,106.2,63.4,Shrubland,3,3.0,Carnivore,Vertivore,Insessorial,9.51,70.49,40.81,42.37,23487697.84
Baird Sparrow,113,Baird's Sparrow,Baird's Sparrow,113,Baird's Sparrow,Baird's Sparrow,Passerculus bairdii,Passerculus bairdii,Passerculus bairdii,Passerellidae,Passeriformes,AVIBASE-67EFC061,4,11.8,7.7,4.8,5.1,22.6,65.6,12.3,53.0,19.0,42.6,18.1,Grassland,3,3.0,Herbivore,Granivore,Generalist,44.92,53.76,48.99,-106.14,830096.01
Black throated Sparrow,114,Black-throated Sparrow,Black-throated Sparrow,114,Black-throated Sparrow,Black-throated Sparrow,Amphispiza bilineata,Amphispiza bilineata,Amphispiza bilineata,Passerellidae,Passeriformes,AVIBASE-A0F29F1E,6,11.7,8.2,4.6,5.9,18.1,63.5,11.3,52.2,17.7,64.8,13.5,Shrubland,2,2.0,Omnivore,Omnivore,Generalist,20.19,47.06,32.43,-108.96,2450691.64
Brewer Sparrow,115,Brewer's Sparrow,Brewer's Sparrow,115,Brewer's Sparrow,Brewer's Sparrow,Spizella breweri,Spizella breweri,Spizella breweri,Passerellidae,Passeriformes,AVIBASE-29967541,5,12.3,6.7,3.6,4.4,16.8,62.8,12.9,50.1,20.5,57.3,10.9,Shrubland,2,3.0,Omnivore,Omnivore,Generalist,33.57,63.27,45.74,-115.39,3238311.53
Chipping Sparrow,116,Chipping Sparrow,Chipping Sparrow,116,Chipping Sparrow,Chipping Sparrow,Spizella passerina,Spizella passerina,Spizella passerina,Passerellidae,Passeriformes,AVIBASE-37E9CCDA,4,13.1,7.0,4.0,4.9,16.3,68.0,16.3,51.0,24.2,56.0,12.2,Forest,2,3.0,Omnivore,Omnivore,Generalist,12.94,66.24,47.04,-103.73,13081064.54
Clay colored Sparrow,117,Clay-colored Sparrow,Clay-colored Sparrow,117,Clay-colored Sparrow,Clay-colored Sparrow,Spizella pallida,Spizella pallida,Spizella pallida,Passerellidae,Passeriformes,AVIBASE-486265CF,4,10.1,6.0,3.4,4.9,17.4,60.8,11.2,49.0,18.6,56.8,11.2,Shrubland,2,3.0,Omnivore,Granivore,Generalist,42.16,62.65,51.68,-104.79,3219955.48
House Sparrow,118,House Sparrow,House Sparrow,118,House Sparrow,House Sparrow,Passer domesticus,Passer domesticus,Passer domesticus,Passeridae,Passeriformes,AVIBASE-240E3390,8,13.5,9.1,6.3,7.4,17.9,74.9,20.4,54.4,27.3,57.2,26.5,Human Modified,3,1.0,Herbivore,Granivore,Terrestrial,5.91,71.19,46.32,61.68,34407867.59
Field Sparrow,119,Field Sparrow,Field Sparrow,119,Field Sparrow,Field Sparrow,Spizella pusilla,Spizella pusilla,Spizella pusilla,Passerellidae,Passeriformes,AVIBASE-E23F6DE0,3,10.4,6.6,4.3,5.2,17.9,64.4,10.8,53.5,16.7,62.0,12.5,Grassland,2,2.0,Omnivore,Granivore,Generalist,28.87,49.98,39.43,-90.09,3997616.97
Yellow headed Blackbird,12,Yellow-headed Blackbird,Yellow-headed Blackbird,12,Yellow-headed Blackbird,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Xanthocephalus xanthocephalus,Xanthocephalus xanthocephalus,Icteridae,Passeriformes,AVIBASE-3E2D0C9B,4,22.5,14.6,6.6,9.1,32.9,129.4,34.2,92.6,27.0,101.9,62.7,Wetland,2,2.0,Herbivore,Granivore,Terrestrial,31.47,59.17,46.37,-108.09,4756494.14
Fox Sparrow,120,Red Fox Sparrow,Red Fox Sparrow,120,Red Fox Sparrow,Red Fox Sparrow,Passerella iliaca,Passerella iliaca,Passerella iliaca,Passerellidae,Passeriformes,AVIBASE-0B1B2EB6,4,13.4,8.5,5.3,7.5,24.3,84.2,21.9,61.9,26.1,68.2,33.3,Forest,1,3.0,Omnivore,Omnivore,Generalist,46.61,70.64,60.38,-117.81,5235159.1
Grasshopper Sparrow,121,Grasshopper Sparrow,Grasshopper Sparrow,121,Grasshopper Sparrow,Grasshopper Sparrow,Ammodramus savannarum,Ammodramus savannarum,Ammodramus savannarum,Passerellidae,Passeriformes,AVIBASE-5BFFE091,5,13.8,8.2,4.5,6.1,20.1,58.2,12.3,46.0,21.1,41.4,17.6,Grassland,3,2.0,Omnivore,Invertivore,Generalist,3.31,51.58,40.3,-94.6,5240933.14
Harris Sparrow,122,Harris's Sparrow,Harris's Sparrow,122,Harris's Sparrow,Harris's Sparrow,Zonotrichia querula,Zonotrichia querula,Zonotrichia querula,Passerellidae,Passeriformes,AVIBASE-DDAF0666,4,16.0,9.2,5.1,7.5,24.3,86.9,20.5,66.3,23.7,80.9,35.5,Shrubland,2,3.0,Herbivore,Omnivore,Terrestrial,55.45,70.58,64.61,-105.48,1699160.3
Henslow Sparrow,123,Henslow's Sparrow,Henslow's Sparrow,123,Henslow's Sparrow,Henslow's Sparrow,Passerculus henslowii,Passerculus henslowii,Passerculus henslowii,Passerellidae,Passeriformes,AVIBASE-CDA2F827,8,13.6,8.4,4.4,6.8,16.7,54.7,8.5,45.8,15.6,49.9,12.8,Grassland,3,2.0,Omnivore,Omnivore,Generalist,35.17,45.94,40.85,-87.72,1306487.74
Le Conte Sparrow,124,LeConte's Sparrow,LeConte's Sparrow,124,LeConte's Sparrow,LeConte's Sparrow,Ammospiza leconteii,Ammospiza leconteii,Ammospiza leconteii,Passerellidae,Passeriformes,AVIBASE-B656B15D,6,11.2,7.1,4.2,5.0,17.3,53.0,10.0,43.1,18.8,52.0,13.0,Grassland,3,3.0,Omnivore,Granivore,Generalist,43.64,62.85,53.02,-101.5,2867567.84
Lincoln Sparrow,125,Lincoln's Sparrow,Lincoln's Sparrow,125,Lincoln's Sparrow,Lincoln's Sparrow,Melospiza lincolnii,Melospiza lincolnii,Melospiza lincolnii,Passerellidae,Passeriformes,AVIBASE-AF49F890,4,13.2,8.0,4.0,5.1,20.1,64.0,14.3,49.7,22.3,56.8,16.6,Wetland,2,3.0,Omnivore,Omnivore,Generalist,32.71,66.53,54.29,-105.44,7567216.93
Nelson Sharp tailed Sparrow,126,Long-tailed Duck,Long-tailed Duck,126,Long-tailed Duck,Long-tailed Duck,Clangula hyemalis,Clangula hyemalis,Clangula hyemalis,Anatidae,Anseriformes,AVIBASE-AF0C7BDE,4,32.1,19.2,16.0,11.9,33.1,215.6,108.5,105.0,50.9,130.8,871.0,Wetland,3,3.0,Carnivore,Aquatic predator,Aquatic,35.57,83.11,68.24,-27.99,9492361.68
Savannah Sparrow,127,Savannah Sparrow,Savannah Sparrow,127,Savannah Sparrow,Savannah Sparrow,Passerculus sandwichensis,Passerculus sandwichensis,Passerculus sandwichensis,Passerellidae,Passeriformes,AVIBASE-26EB95E7,4,12.8,8.3,4.1,5.4,20.7,72.8,17.6,55.2,24.1,51.2,20.0,Grassland,3,3.0,Omnivore,Omnivore,Generalist,18.83,71.39,54.37,-108.21,13598359.75
Seaside Sparrow,128,Seaside Sparrow,Seaside Sparrow,128,Seaside Sparrow,Seaside Sparrow,Ammospiza maritima,Ammospiza maritima,Ammospiza maritima,Passerellidae,Passeriformes,AVIBASE-0F81304F,8,16.3,11.1,4.2,6.3,22.9,60.6,9.1,51.8,14.8,54.8,22.2,Wetland,3,2.0,Carnivore,Invertivore,Terrestrial,24.91,43.36,33.22,-82.34,184267.84
Song Sparrow,129,Song Sparrow,Song Sparrow,129,Song Sparrow,Song Sparrow,Melospiza melodia,Melospiza melodia,Melospiza melodia,Passerellidae,Passeriformes,AVIBASE-A5F09E05,5,13.4,8.5,5.3,6.7,21.5,66.3,13.2,52.6,20.1,67.2,21.9,Shrubland,2,2.0,Omnivore,Omnivore,Generalist,18.99,62.57,47.88,-103.48,10313728.38
Bobolink,13,Bobolink,Bobolink,13,Bobolink,Bobolink,Dolichonyx oryzivorus,Dolichonyx oryzivorus,Dolichonyx oryzivorus,Icteridae,Passeriformes,AVIBASE-F845062F,4,16.2,9.8,5.9,7.6,26.5,90.2,32.0,58.5,35.4,61.8,31.5,Grassland,1,3.0,Omnivore,Granivore,Generalist,32.38,54.24,45.77,-93.09,3883605.76
Tree Sparrow,130,Eurasian Tree Sparrow,Eurasian Tree Sparrow,130,Eurasian Tree Sparrow,Eurasian Tree Sparrow,Passer montanus,Passer montanus,Passer montanus,Passeridae,Passeriformes,AVIBASE-C22FBF8D,8,13.2,8.2,5.5,6.5,16.4,67.9,16.7,51.2,24.6,51.0,21.4,Woodland,2,1.0,Omnivore,Granivore,Terrestrial,-10.94,71.06,46.61,81.35,39069801.39
Vesper Sparrow,131,Vesper Sparrow,Vesper Sparrow,131,Vesper Sparrow,Vesper Sparrow,Pooecetes gramineus,Pooecetes gramineus,Pooecetes gramineus,Passerellidae,Passeriformes,AVIBASE-3647E146,4,12.0,7.7,4.9,6.6,20.1,78.6,18.8,60.0,23.9,59.6,25.7,Grassland,3,3.0,Omnivore,Omnivore,Generalist,33.41,61.61,46.0,-100.57,6371227.47
White crowned Sparrow,132,White-crowned Sparrow,White-crowned Sparrow,132,White-crowned Sparrow,White-crowned Sparrow,Zonotrichia leucophrys,Zonotrichia leucophrys,Zonotrichia leucophrys,Passerellidae,Passeriformes,AVIBASE-8601A467,4,15.4,8.4,4.5,6.0,22.8,78.7,18.5,60.9,23.4,70.6,28.0,Shrubland,2,3.0,Omnivore,Omnivore,Generalist,33.38,70.64,58.71,-115.14,7364178.61
White throated Sparrow,133,White-throated Sparrow,White-throated Sparrow,133,White-throated Sparrow,White-throated Sparrow,Zonotrichia albicollis,Zonotrichia albicollis,Zonotrichia albicollis,Passerellidae,Passeriformes,AVIBASE-39BD9FF2,5,13.6,8.4,5.1,6.3,23.0,72.8,14.3,58.1,19.7,70.4,24.4,Woodland,2,3.0,Herbivore,Omnivore,Terrestrial,40.7,65.85,53.74,-95.18,5662700.85
Cape Glossy Starling,134,Cape Shoveler,Cape Shoveler,134,Cape Shoveler,Cape Shoveler,Spatula smithii,Spatula smithii,Spatula smithii,Anatidae,Anseriformes,AVIBASE-4670CF43,4,63.6,43.3,18.9,16.5,34.6,229.2,115.8,113.5,50.5,72.5,591.5,Wetland,3,2.0,Carnivore,Aquatic predator,Aquatic,-34.84,-13.74,-24.84,22.46,2430691.95
Bank Swallow,135,Barn Swallow,Barn Swallow,135,Barn Swallow,Barn Swallow,Hirundo rustica,Hirundo rustica,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,10,12.4,6.0,4.5,2.7,11.7,115.8,62.3,56.0,52.6,71.4,17.9,Human Modified,3,3.0,Carnivore,Invertivore,Aerial,-37.53,71.13,47.56,34.57,51701054.06
Barn Swallow,136,Barn Swallow,Barn Swallow,136,Barn Swallow,Barn Swallow,Hirundo rustica,Hirundo rustica,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,10,12.4,6.0,4.5,2.7,11.7,115.8,62.3,56.0,52.6,71.4,17.9,Human Modified,3,3.0,Carnivore,Invertivore,Aerial,-37.53,71.13,47.56,34.57,51701054.06
Cliff Swallow,137,American Cliff Swallow,American Cliff Swallow,137,American Cliff Swallow,American Cliff Swallow,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,Hirundinidae,Passeriformes,AVIBASE-F5C181CA,4,11.3,5.9,4.5,3.0,12.6,109.3,54.2,56.4,49.0,49.2,21.6,Grassland,3,3.0,Carnivore,Invertivore,Aerial,16.24,66.98,46.7,-108.51,11994340.08
Tree Swallow,138,Tree Swallow,Tree Swallow,138,Tree Swallow,Tree Swallow,Tachycineta bicolor,Tachycineta bicolor,Tachycineta bicolor,Hirundinidae,Passeriformes,AVIBASE-BBA2F9DF,4,10.8,5.9,3.8,2.8,12.2,115.9,61.3,54.3,53.0,54.0,21.2,Wetland,3,3.0,Carnivore,Invertivore,Aerial,33.0,68.64,52.15,-107.17,11720977.55
Scarlet Tanager,139,Scarlet Tanager,Scarlet Tanager,139,Scarlet Tanager,Scarlet Tanager,Piranga olivacea,Piranga olivacea,Piranga olivacea,Cardinalidae,Passeriformes,AVIBASE-42101632,4,18.8,11.5,7.2,8.2,19.4,92.6,29.5,65.9,30.9,63.8,28.2,Forest,1,3.0,Carnivore,Invertivore,Insessorial,32.41,53.03,41.72,-85.13,2605301.09
Indigo Bunting,14,Indigo Bunting,Indigo Bunting,14,Indigo Bunting,Indigo Bunting,Passerina cyanea,Passerina cyanea,Passerina cyanea,Cardinalidae,Passeriformes,AVIBASE-043F337A,15,11.7,7.6,5.1,6.2,17.2,64.8,14.7,50.3,22.5,48.9,14.7,Shrubland,2,3.0,Herbivore,Granivore,Terrestrial,24.53,52.55,39.21,-91.56,5700834.65
Summer Tanager,140,Summer Tanager,Summer Tanager,140,Summer Tanager,Summer Tanager,Piranga rubra,Piranga rubra,Piranga rubra,Cardinalidae,Passeriformes,AVIBASE-891798D9,10,19.2,13.3,8.4,9.0,19.5,92.0,27.9,67.4,29.2,71.3,29.1,Forest,1,3.0,Carnivore,Invertivore,Insessorial,24.5,42.5,33.47,-93.77,3269576.69
Artic Tern,141,Arctic Tern,Arctic Tern,141,Arctic Tern,Arctic Tern,Sterna paradisaea,Sterna paradisaea,Sterna paradisaea,Laridae,Charadriiformes,AVIBASE-BDC5CF80,4,37.8,22.8,3.8,7.0,16.1,262.7,181.1,80.9,69.1,179.6,110.0,Coastal,3,3.0,Carnivore,Aquatic predator,Aerial,41.24,83.11,67.21,-35.32,10398468.44
Black Tern,142,Black Tern,Black Tern,142,Black Tern,Black Tern,Chlidonias niger,Chlidonias niger,Chlidonias niger,Laridae,Charadriiformes,AVIBASE-115AF02D,8,31.1,18.4,3.5,5.4,15.8,201.7,123.7,75.0,62.1,77.8,65.3,Wetland,3,3.0,Carnivore,Aquatic predator,Aerial,35.73,63.05,50.61,-10.11,12943719.56
